source;target;weight
Netherlands;Kyrgyzstan;1.162
Netherlands;Lebanon;23.242
Netherlands;Latvia;345.144
Netherlands;Liberia;1.162
Netherlands;Libya;6.973
Netherlands;Lithuania;467.164
Netherlands;Luxembourg;62661.594
Netherlands;Malaysia;19.756
Netherlands;Maldives;1.162
Netherlands;Malta;133.641
Netherlands;Mauritius;1.162
Netherlands;Mexico;26.728
Netherlands;Moldova;1.162
Netherlands;Montenegro;1.162
Netherlands;Morocco;22.08
Netherlands;Mozambique;1.162
Netherlands;Oman;6.973
Netherlands;Nepal;1.162
Netherlands;Curacao;11.621
Netherlands;Aruba;15.107
Netherlands;Sint Maarten;3.486
Netherlands;Bonaire;2.324
Netherlands;New Caledonia;1.162
Netherlands;New Zealand;15.107
Netherlands;Nigeria;29.052
Netherlands;Norway;5513914.648
Netherlands;Pakistan;15.107
Netherlands;Panama;1.162
Netherlands;Papua New Guinea;1.162
Netherlands;Peru;9.297
Netherlands;Philippines;17.431
Netherlands;Poland;4814.58
Netherlands;Portugal;849.495
Netherlands;Romania;878.548
Netherlands;Russian Federation;166.18
Netherlands;Rwanda;2.324
Netherlands;Saudi Arabia;83.671
Netherlands;Senegal;1.162
Netherlands;Serbia;9.297
Netherlands;Sierra Leone;1.162
Netherlands;India;45.322
Netherlands;Singapore;44.16
Netherlands;Slovakia;720.502
Netherlands;Viet Nam;15.107
Netherlands;Slovenia;196.395
Netherlands;South Africa;713886.165
Netherlands;Zimbabwe;1.162
Netherlands;Spain;76555.662
Netherlands;Sudan;2.324
Netherlands;Suriname;10.459
Netherlands;Sweden;5237.585
Netherlands;Switzerland;339.333
Netherlands;Tajikistan;1.162
Netherlands;Thailand;30.215
Netherlands;Trinidad and Tobago;3.486
Netherlands;United Arab Emirates;106.913
Netherlands;Tunisia;17.431
Netherlands;Turkey;147.587
Netherlands;Turkmenistan;2.324
Netherlands;Uganda;2.324
Netherlands;Ukraine;55.781
Netherlands;North Macedonia;12.783
Netherlands;Egypt;17.431
Netherlands;United Kingdom;16942.256
Netherlands;United Rep. of Tanzania;4.648
Netherlands;Burkina Faso;1.162
Netherlands;Uruguay;4.648
Netherlands;Uzbekistan;1.162
Netherlands;Venezuela;1.162
Netherlands;Yemen;1.162
Netherlands;Zambia;1.162
Philippines;China;12098500
Philippines;Viet Nam;1127000
Poland;Austria;7200084
Poland;Bosnia Herzegovina;88901
Poland;Czechia;5529526
Poland;Denmark;382133
Poland;Germany;12285843
Poland;Hungary;188600
Poland;Ireland;483813
Poland;Latvia;3583
Poland;Lithuania;24
Poland;Norway;803464
Poland;Romania;497750
Poland;Slovakia;1258383
Poland;Sweden;1036155
Poland;Switzerland;113622
Poland;Ukraine;2589274
Poland;United Kingdom;791805
Russian Federation;Belarus;31998
Oman;Iran;1638.491
Netherlands;Austria;1.162
Netherlands;Belgium;38254.008
Netherlands;Denmark;1.162
Netherlands;France;21627.843
Netherlands;Germany;15264.183
Netherlands;Italy;3.486
Netherlands;Poland;1.162
Netherlands;Romania;1.162
Netherlands;Spain;4.648
Netherlands;United Kingdom;2.324
New Zealand;Fiji;122.24
