source;target;weight
Poland;Norway;683899
Poland;Norway;683899
Italy;Slovenia;17422.538
Italy;Slovenia;8534.994
Italy;Slovenia;8887.543
Poland;Slovenia;91664
Poland;Slovenia;91664
Poland;Sweden;1003404
Poland;Sweden;931547
Poland;Sweden;71857
Italy;United Kingdom;208.729
Italy;United Kingdom;208.729
Poland;United Kingdom;6596907
Poland;United Kingdom;6596907
Italy;Portugal;462.005
Italy;Portugal;462.005
Spain;Portugal;76216.839
Spain;Portugal;9208.121
Spain;Portugal;67008.717
Zimbabwe;Zambia;105214720
Zimbabwe;Zambia;105214720
Italy;Cyprus;3937.858
Italy;Cyprus;3937.858
Turkey;Cyprus;250
Turkey;Cyprus;250
Poland;Austria;17371026
Poland;Austria;7237398
Poland;Austria;10133628
Italy;France;184985.123
Italy;France;17474.72
Italy;France;190.911
Italy;France;167319.491
