source;target;weight
France;Burkina Faso;41317.43
France;Australia;31713.55
France;Mayotte (Overseas France);184128.34
France;Colombia;10366.675
France;Russian Federation;36913.965
France;Singapore;15577.21
Norway;Switzerland;10682932.11
Norway;USA;58094361.53
France;French Polynesia;2923.415
France;Denmark;32763.5
France;Hungary;507.265
France;Guinea;45184.535
France;Greece;538129.735
France;Spain;11190.829
France;Libya;8383.926
France;United Kingdom;87.518
France;Türkiye;5453.991
France;Greece;459.15
France;Germany;761356.85
France;Finland;13551.265
France;Angola;2447.954
France;USA;68967.154
Norway;United Kingdom;20477.89
Norway;Guatemala;2827664.847
Norway;Sweden;75400878.57
Norway;Poland;6691490.466
France;Poland;596.192
France;Italy;121800633.8
France;United Kingdom;4876601.072
France;Greece;211677.001
France;Germany;8048010.589
France;Finland;14274.236
France;Cyprus;1600.683
France;Belgium;2655893.215
France;Austria;5644.247
France;Malta;71.029
France;Italy;117723318.9
France;United Kingdom;71.029
Norway;Sweden;52520.699
Norway;Sweden;45831353.18
Norway;Portugal;10550013.06
Norway;Mauritania;1180879.188
Norway;Iceland;308638.953
Norway;Guatemala;7397180.903
Norway;Finland;8926066.412
Norway;Faeroe Isds;195.192
Norway;United Kingdom;342962937.1
Norway;United Kingdom;369610286.6
Norway;Spain;40958554.6
Norway;Spain;40958554.6
Norway;Russian Federation;8086.518
Norway;Russian Federation;8086.518
Norway;Poland;5914033.257
Norway;Poland;5563262.2
Norway;Netherlands;139081555.6
Norway;Netherlands;177785892.9
France;Switzerland;3012274.744
France;Spain;26145982.58
France;Italy;631.648
France;Cyprus;149.668
France;Libya;8383.926
France;Türkiye;5453.991
France;Angola;2447.954
France;Denmark;279.286
France;Congo;16764.867
France;Congo;16764.867
France;Austria;842.984
France;Italy;1035.153
Norway;Italy;131049513.9
Norway;Italy;131049513.9
Norway;Germany;571852502.4
Norway;Germany;571852502.4
Norway;Denmark;5563262.2
Norway;Denmark;5563262.2
Norway;Czechia;62828684.83
Norway;Czechia;62828684.83
Norway;Belgium;144456132.6
Norway;Belgium;122011784.4
France;Germany;614670.8
France;French Polynesia;1929.382
France;Italy;1278.928
France;Germany;805070.752
France;Czechia;222.37
France;Germany;802509.661
France;Portugal;346.185
France;Congo;1554.016
France;Luxembourg;1006.737
France;Congo;1554.016
France;Ireland;20662.065
Norway;USA;58094361.53
Norway;France;317610114.8
Norway;France;318791969.5
Norway;Switzerland;10682932.11
Norway;United Kingdom;369610286.6
Norway;Spain;40958554.6
Norway;Russian Federation;8086.518
Norway;Poland;5914033.257
Norway;Netherlands;177785892.9
Norway;Italy;131049513.9
Norway;USA;41114640.85
France;Guinea;63741.342
France;Côte d'Ivoire;9434.241
France;Andorra;64846.957
France;Canada;29214.889
France;Norway;6495.329
France;Estonia;1922.976
France;Switzerland;1957496.178
France;Spain;27950520.83
France;Italy;117885386.9
France;Italy;499.641
France;Denmark;39237.169
France;Greece;260720.204
Norway;United Kingdom;52695.361
Norway;Australia;10911156.04
Norway;Türkiye;23409793.14
Norway;Sweden;35053678.74
Norway;Guatemala;17528949.88
Norway;Spain;39284576.92
France;Germany;10347781.81
France;Hungary;933.944
France;Finland;420.211
France;Italy;121323677.2
France;Austria;1573.228
France;Belgium;5482374.2
France;Japan;78086.155
France;United Kingdom;10763403.45
France;Türkiye;55465.242
France;Czechia;9494.454
France;Netherlands;4361876.122
France;Luxembourg;1222.198
France;Spain;29440100.93
France;Sweden;53312.944
France;Switzerland;2001614.452
France;Belgium;59.613
France;Sweden;7320.555
France;Switzerland;799960.7
France;United Kingdom;8473954.17
France;Belgium;1798193.705
France;Luxembourg;1568.6
France;Malta;6824.675
France;Portugal;375.499
France;Germany;795935.802
France;Gabon;1905.717
France;Belgium;585.336
France;Sweden;8285.427
France;Tunisia;12788779.79
Norway;Belgium;118509077.3
Norway;Netherlands;195916767.7
Norway;Denmark;5830531.291
Norway;Belgium;146178784.8
Norway;Denmark;5830531.291
Norway;Italy;123277562.7
Norway;Netherlands;145763283.1
Norway;United Kingdom;372177326.6
Norway;Germany;624591434.9
Norway;United Arab Emirates;724.139
Norway;United Kingdom;345972118.5
Norway;Italy;123277562.7
Norway;Poland;5830531.291
Norway;United Arab Emirates;724.139
France;Egypt;4390495.689
France;United Arab Emirates;25095.89
France;Burkina Faso;41190.048
France;Andorra;67739.986
France;South Africa;6633.386
France;Singapore;54946.127
France;Russian Federation;47134.874
France;USA;33060.998
France;Poland;1821.028
France;Hungary;725.133
France;Ireland;430.035
France;Slovenia;1537.281
France;Belgium;3.783
Norway;Czechia;68571381.5
Norway;Poland;10732281.37
Norway;Spain;39284576.92
Norway;Czechia;68571381.5
Norway;Belgium;94952960.92
Norway;Denmark;5108952.219
Norway;Italy;108656409.9
Norway;United Kingdom;338814520.3
Norway;Poland;5108952.219
Norway;Netherlands;127723806.7
Norway;Germany;457684125.6
Norway;Spain;30965707.2
Norway;Netherlands;149388792.1
Norway;Germany;461318001.9
France;United Kingdom;12.611
France;Switzerland;1302762.961
France;Spain;35203069.27
France;Luxembourg;56951.276
France;Italy;144350383.9
France;Italy;211.865
France;Denmark;56827.688
France;Czechia;5456.78
France;Germany;7089243.384
France;Greece;773821.049
France;Italy;162622847.7
France;Netherlands;3046779.767
France;United Kingdom;13872475.81
France;Portugal;32202.189
Norway;Denmark;5108952.219
Norway;Poland;16093139
Norway;Italy;108656409.9
Norway;Czechia;44846610
Norway;Spain;30965707.2
Norway;Russian Federation;1295.838
Norway;Belgium;114438856.3
Norway;United Kingdom;358665482.8
Norway;USA;41114640.85
Norway;France;261259745.1
Norway;France;261259745.1
Norway;France;261259745.1
France;Türkiye;9584.36
France;Spain;37746322.08
France;Morocco;23957484.94
France;Belgium;2138253.061
France;Congo;8305.605
France;Austria;703.694
France;Luxembourg;57822.696
France;Switzerland;1309034.411
France;Switzerland;3125313.146
France;Spain;27763860.82
France;Netherlands;2323480.073
France;Malta;71.029
France;Luxembourg;284.115
France;Germany;8104390.415
Norway;United Kingdom;358665482.8
Norway;Germany;461318001.9
Norway;Spain;30965707.2
Norway;Belgium;114438856.3
Norway;Denmark;5108952.219
Norway;Poland;16093139
Norway;Czechia;44846610
Norway;Russian Federation;1295.838
Norway;Netherlands;149388792.1
Norway;Italy;108656409.9
Norway;Russian Federation;1295.838
Norway;Germany;457684125.6
France;Finland;1724738.147
France;Belgium;2035270.455
